Sample Type,File Name,Order
Unknown,Column_Clean_1,508
Unknown,Column_Clean_2,509
Unknown,NoInj_BLANK_Test,510
Unknown,118496,511
Unknown,119313,512
Unknown,119325,513
Unknown,119617,514
Unknown,119633,515
Unknown,119647,516
Unknown,130471,517
Unknown,130474,518
Unknown,130737,519
Unknown,132900,520
Unknown,133046,521
Unknown,134241,522
Unknown,NoInj_BLANK_Plate11_1,523
Unknown,Pooled_Milk_Plate_11_1,524
Unknown,135504,525
Unknown,136189,526
Unknown,136559,527
Unknown,136600,528
Unknown,136602,529
Unknown,136720,530
Unknown,138201,531
Unknown,138218,532
Unknown,138282,533
Unknown,138284,534
Unknown,138750,535
Unknown,139040,536
Unknown,22HM6196,537
Unknown,6mix_Plate_11_1,538
Unknown,SRM_Plate_11_1,539
Unknown,NoInj_BLANK_Plate11_2,540
Unknown,Solvent_BLANK_Plate11_1,541
Unknown,139543,542
Unknown,139611,543
Unknown,139617,544
Unknown,139644,545
Unknown,139649,546
Unknown,139760,547
Unknown,140035,548
Unknown,140061,549
Unknown,140233,550
Unknown,141237,551
Unknown,141244,552
Unknown,141260,553
Unknown,NoInj_BLANK_Plate11_3,554
Unknown,Pooled_Milk_Plate_11_2,555
Unknown,141266,556
Unknown,141347,557
Unknown,141358,558
Unknown,141457,559
Unknown,141533,560
Unknown,143029,561
Unknown,143142,562
Unknown,143714,563
Unknown,143801,564
Unknown,143854,565
Unknown,143923,566
Unknown,143961,567
Unknown,22HM6194,568
Unknown,6mix_Plate_11_2,569
Unknown,SRM_Plate_11_2,570
Unknown,NoInj_BLANK_Plate11_4,571
Unknown,Solvent_BLANK_Plate11_2,572
Unknown,144064,573
Unknown,144123,574
Unknown,144674,575
Unknown,145132,576
Unknown,145597,577
Unknown,145722,578
Unknown,145748,579
Unknown,145753,580
Unknown,145978,581
Unknown,145993,582
Unknown,146407,583
Unknown,146779,584
Unknown,NoInj_BLANK_Plate11_5,585
Unknown,Pooled_Milk_Plate_11_3,586
Unknown,146821,587
Unknown,148278,588
Unknown,148328,589
Unknown,148332,590
Unknown,149120,591
Unknown,149150,592
Unknown,149160,593
Unknown,149180,594
Unknown,149204,595
Unknown,149371,596
Unknown,149379,597
Unknown,149759,598
Unknown,22HM6227,599
Unknown,6mix_Plate_11_3,600
Unknown,SRM_Plate_11_3,601
Unknown,NoInj_BLANK_Plate11_6,602
Unknown,Solvent_BLANK_Plate11_3,603
Unknown,149773,604
Unknown,149806,605
Unknown,149828,606
Unknown,149851,607
Unknown,149857,608
Unknown,149917,609
Unknown,149921,610
Unknown,151376,611
Unknown,151424,612
Unknown,151443,613
Unknown,151484,614
Unknown,151536,615
Unknown,NoInj_BLANK_Plate11_7,616
Unknown,151552,617
Unknown,151578,618
Unknown,151589,619
Unknown,151611,620
Unknown,151647,621
Unknown,151656,622
Unknown,151679,623
Unknown,151707,624
Unknown,151732,625
Unknown,151748,626
Unknown,151752,627
Unknown,151770,628
Unknown,NoInj_BLANK_Plate11_8,629
Unknown,Pooled_Milk_Plate_11_4,630
Unknown,Solvent_BLANK_Plate11_4,631
Unknown,151774,632
Unknown,151785,633
Unknown,151786,634
Unknown,152525,635
Unknown,152526,636
Unknown,152534,637
Unknown,152566,638
Unknown,152952,639
Unknown,152973,640
Unknown,153515,641
Unknown,153550,642
Unknown,153627,643
Unknown,22HM6222,644
Unknown,NoInj_BLANK_Plate12_1,645
Unknown,Pooled_Milk_Plate_12_1,646
Unknown,153642,647
Unknown,153655,648
Unknown,153680,649
Unknown,153690,650
Unknown,153707,651
Unknown,153746,652
Unknown,153751,653
Unknown,153758,654
Unknown,153795,655
Unknown,153804,656
Unknown,153805,657
Unknown,153889,658
Unknown,6mix_Plate_12_1,659
Unknown,SRM_Plate_12_1,660
Unknown,NoInj_BLANK_Plate12_2,661
Unknown,Solvent_BLANK_Plate12_1,662
Unknown,153908,663
Unknown,153918,664
Unknown,153939,665
Unknown,155130,666
Unknown,155369,667
Unknown,155430,668
Unknown,155561,669
Unknown,155597,670
Unknown,155699,671
Unknown,155759,672
Unknown,155795,673
Unknown,156188,674
Unknown,22HM6221,675
Unknown,NoInj_BLANK_Plate12_3,676
Unknown,Pooled_Milk_Plate_12_2,677
Unknown,156458,678
Unknown,156471,679
Unknown,158114,680
Unknown,158988,681
Unknown,159037,682
Unknown,159044,683
Unknown,159047,684
Unknown,159054,685
Unknown,159094,686
Unknown,159096,687
Unknown,159097,688
Unknown,159145,689
Unknown,6mix_Plate_12_2,690
Unknown,SRM_Plate_12_2,691
Unknown,NoInj_BLANK_Plate12_4,692
Unknown,Solvent_BLANK_Plate12_2,693
Unknown,159152,694
Unknown,159154,695
Unknown,159228,696
Unknown,159234,697
Unknown,159243,698
Unknown,163696,699
Unknown,6mix_Plate_12_3,700
Unknown,Pooled_Milk_Plate_12_3,701
Unknown,SRM_Plate_12_3,702
Unknown,NoInj_BLANK_Plate12_6,703
Unknown,Solvent_BLANK_Plate12_3,704
Unknown,23486,705
Unknown,32136,706
Unknown,40010,707
Unknown,41095,708
Unknown,41865,709
Unknown,50203,710
Unknown,52725,711
Unknown,52981,712
Unknown,59927,713
Unknown,23410,714
Unknown,23426,715
Unknown,39348,716
Unknown,NoInj_BLANK_Plate13_1,717
Unknown,Pooled_Milk_Plate13_1,718
Unknown,40035,719
Unknown,40752,720
Unknown,49233,721
Unknown,49251,722
Unknown,33767,723
Unknown,23958,724
Unknown,23471,725
Unknown,23487,726
Unknown,33133,727
Unknown,33134,728
Unknown,48750,729
Unknown,50070,730
Unknown,6mix_Plate_13_1,731
Unknown,SRM_Plate_13_1,732
Unknown,NoInj_BLANK_Plate13_2,733
Unknown,Solvent_BLANK_Plate13_1,734
Unknown,52253,735
